cell_class	channel_combo	leiden_resolution
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	2
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	3
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	4
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	5
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	6
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	7
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	8
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	9
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	10
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	2
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	3
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	4
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	5
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	6
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	7
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	8
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	9
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	10
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	2
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	3
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	4
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	5
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	6
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	7
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	8
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	9
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	10
